StockCode,Description,UnitPrice,TotalSold
16169N,WRAP BLUE RUSSIAN FOLKART,0.42,25
16169P,WRAP GREEN RUSSIAN FOLKART ,0.42,50
16202A,PASTEL PINK PHOTO ALBUM ,0.5,7
16202B,PASTEL BLUE PHOTO ALBUM ,0.5,29
16202E,BLACK PHOTO ALBUM ,0.5,15
16206B,RED PURSE WITH PINK HEART,1.25,7
16207A,PINK STRAWBERRY HANDBAG ,2.95,13
16207B,PINK HEART RED HANDBAG,2.7866666666666666,4
16216,LETTER SHAPE PENCIL SHARPENER,0.09463414634146342,3316
16218,CARTOON  PENCIL SHARPENERS,0.0732,3760
16219,HOUSE SHAPE PENCIL SHARPENER,0.09085106382978722,2915
16225,RATTLE SNAKE EGGS,1.1866666666666668,760
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.21400000000000002,2629
16236,KITTY PENCIL ERASERS,0.20931506849315068,1296
16237,SLEEPING CAT ERASERS,0.2060843373493976,4595
16238,PARTY TIME PENCIL ERASERS,0.2362820512820513,1259
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,1.225,7
16248B,BLUE HOLE PUNCH,1.25,13
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.0233333333333332,31
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.45921052631578946,445
16259,PIECE OF CAMO STATIONERY SET,0.0967741935483871,3380
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29,72
17003,BROCADE RING PURSE ,0.3202403846153846,22927
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,24
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1.1333333333333335,80
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,1.1079999999999999,270
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,1.0763888888888888,455
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,1.1186046511627907,362
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,1.0818181818181818,385
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,1.8666666666666665,35
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1.0035714285714286,365
17013D,ORIGAMI ROSE INCENSE IN TUBE,0.8672727272727272,532
17014A,ORIGAMI VANILLA INCENSE CONES,0.6071428571428571,154
17021,NAMASTE SWAGAT INCENSE,0.29411764705882354,2391
17028J,INCENSE BAZAAR PEACH,0.42,6
17038,PORCELAIN BUDAH INCENSE HOLDER,0.09526315789473684,1501
17084A,TRANQUILITY MASALA INCENSE,0.21,200
17084J,LOVE POTION MASALA INCENSE,0.21,225
17084N,FAIRY DREAMS INCENSE ,0.2084375,1025
17084P,DRAGONS BLOOD INCENSE,0.21,349
17084R,ASSORTED INCENSE PACK,0.20259259259259257,4032
17090A,LAVENDER INCENSE 40 CONES IN TIN,1.17,109
17090D,VANILLA INCENSE 40 CONES IN TIN,1.25,29
17091A,LAVENDER INCENSE IN TIN,0.7976000000000001,171
17091J,VANILLA INCENSE IN TIN,0.5476923076923077,2066
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.20076923076923076,2516
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,170
17109D,FLOWER FAIRY INCENSE BOUQUET,0.9039999999999999,61
17129F,BLUE GLASS GEMS IN BAG,0.8436842105263158,427
17136A,BLUE STONES ON WIRE FOR CANDLE,0.10294117647058823,352
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.42,27
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1.05,27
17174,ASSTD RASTA KEY-CHAINS,0.42,9
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75,4
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.16666666666666666,5856
18094C,WHITE AND BLUE CERAMIC OIL BURNER,1.1966666666666665,134
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,2.55,5
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.503846153846154,669
18098C,PORCELAIN BUTTERFLY OIL BURNER,2.918421052631579,193
20615,BLUE POLKADOT PASSPORT COVER,1.4831428571428573,231
20616,CHERRY BLOSSOM PASSPORT COVER,1.3172,134
20617,FIRST CLASS PASSPORT COVER ,2.224615384615385,66
20618,QUEEN OF THE SKIES PASSPORT COVER ,2.0707142857142857,68
20619,TROPICAL PASSPORT COVER ,2.309090909090909,142
20622,VIPPASSPORT COVER ,1.99,162
20652,BLUE POLKADOT LUGGAGE TAG ,1.4333333333333333,147
20653,CHERRY BLOSSOM LUGGAGE TAG,1.6533333333333333,33
20654,FIRST CLASS LUGGAGE TAG ,1.2341666666666666,105
20655,QUEEN OF SKIES LUGGAGE TAG,1.31,89
20657,TROPICAL LUGGAGE TAG,1.3513636363636363,61
20658,RED RETROSPOT LUGGAGE TAG,1.25,327
20659,ECONOMY LUGGAGE TAG,1.5499999999999998,94
20661,BLUE POLKADOT PURSE ,4.654,9
20662,FIRST CLASS HOLIDAY PURSE ,4.086,11
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3.896666666666667,3
20664,TROPICAL HOLIDAY PURSE ,2.9500000000000006,6
20665,RED RETROSPOT PURSE ,2.944520547945206,340
20666,ECONOMY HOLIDAY PURSE,2.95,4
20667,CHERRY BLOSSOM PURSE,2.95,1
20668,DISCO BALL CHRISTMAS DECORATION,0.11847826086956523,12618
20669,RED HEART LUGGAGE TAG,1.25,195
20670,VIP HOLIDAY PURSE,3.896666666666667,8
20671,BLUE TEATIME PRINT BOWL ,1.25,10
20674,GREEN POLKADOT BOWL,1.2517333333333334,1360
20675,BLUE POLKADOT BOWL,1.2418666666666667,2728
20676,RED RETROSPOT BOWL,1.2437123745819398,4310
20677,PINK POLKADOT BOWL,1.2584234234234235,3157
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65,4
20679,EDWARDIAN PARASOL RED,5.920369003690038,1630
20681,PINK POLKADOT CHILDRENS UMBRELLA,3.25,125
20682,RED RETROSPOT CHILDRENS UMBRELLA,3.312950819672131,1140
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.25,77
20685,DOORMAT RED RETROSPOT,7.758093587521664,3897
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.3028125,252
20694,FLORAL PINK MONSTER,3.75,36
20695,FLORAL BLUE MONSTER,4.25,5
20696,FLORAL SOFT CAR TOY,3.75,32
20697,LITTLE GREEN MONSTER SOFT TOY,2.55,17
20698,LITTLE PINK MONSTER SOFT TOY,2.55,16
20699,MOUSEY LONG LEGS SOFT TOY,2.55,29
20700,GREEN CAT FLORAL CUSHION COVER ,3.75,10
20701,PINK CAT FLORAL CUSHION COVER ,3.75,6
20702,PINK PADDED MOBILE,4.25,127
20703,BLUE PADDED SOFT MOBILE,4.25,1
20704,MR ROBOT SOFT TOY,4.77051282051282,211
20705,MRS ROBOT SOFT TOY,4.807142857142857,143
20707,CRAZY DAISY HEART DECORATION,1.5438709677419356,155
20711,JUMBO BAG TOYS ,2.01331983805668,4198
20712,JUMBO BAG WOODLAND ANIMALS,2.0361971830985914,8187
20713,JUMBO BAG OWLS,2.018870192307692,10451
20716,PARTY FOOD SHOPPER BAG,1.2445714285714287,314
20717,STRAWBERRY SHOPPER BAG,1.2760425531914894,2034
20718,RED RETROSPOT SHOPPER BAG,1.2659948320413437,4257
20719,WOODLAND CHARLOTTE BAG,0.8454089219330855,9219
20723,STRAWBERRY CHARLOTTE BAG,0.8602217741935484,6842
20724,RED RETROSPOT CHARLOTTE BAG,0.8493048128342245,12805
20725,LUNCH BAG RED RETROSPOT,1.6590490797546014,17776
20726,LUNCH BAG WOODLAND,1.6593862815884475,9091
20727,LUNCH BAG  BLACK SKULL.,1.6436920222634508,11246
20728,LUNCH BAG CARS BLUE,1.6569600818833161,10789
20731,POSY CANDY BAG,1.25,74
20733,GOLD MINI TAPE MEASURE ,0.8387234042553192,916
20735,BLACK MINI TAPE MEASURE ,0.8456666666666667,158
20748,KENSINGTON COFFEE SET,12.75,53
20749,ASSORTED COLOUR MINI CASES,7.790109289617486,1717
20750,RED RETROSPOT MINI CASES,7.748907103825136,1711
20751,FUNKY WASHING UP GLOVES ASSORTED,2.0953409090909094,941
20752,BLUE POLKADOT WASHING UP GLOVES,2.1,360
20754,RETROSPOT RED WASHING UP GLOVES,2.089834710743802,1355
20755,BLUE PAISLEY POCKET BOOK,0.85,291
20756,GREEN FERN POCKET BOOK,0.85,63
20757,RED DAISY POCKET BOOK ,0.8751612903225806,155
20758,ABSTRACT CIRCLES POCKET BOOK,0.85,158
20759,CHRYSANTHEMUM POCKET BOOK ,0.85,64
20760,GARDEN PATH POCKET BOOK,0.85,69
20761,BLUE PAISLEY SKETCHBOOK,3.821346153846154,107
20762,GREEN FERN SKETCHBOOK ,3.8227450980392157,101
20763,DAISY SKETCHBOOK ,3.6984,71
20764,ABSTRACT CIRCLES SKETCHBOOK ,3.9324590163934428,126
20765,CHRYSANTHEMUM SKETCHBOOK ,3.968235294117647,94
20766,GARDEN PATH SKETCHBOOK,3.887916666666667,111
20767,BLUE PAISLEY JOURNAL ,2.625344827586207,214
20768,GREEN FERN JOURNAL ,2.6044444444444443,130
20769,DAISY JOURNAL ,2.6426923076923075,66
20770,ABSTRACT CIRCLE JOURNAL ,2.533928571428571,107
20771,CHRYSANTHEMUM  JOURNAL,2.639259259259259,70
20772,GARDEN PATH JOURNAL,2.592608695652174,218
20773,BLUE PAISLEY NOTEBOOK,1.6499999999999997,56
20774,GREEN FERN NOTEBOOK,1.65,52
20775,DAISY NOTEBOOK ,1.65,63
20777,CHRYSANTHEMUM NOTEBOOK,1.65,95
20778,GARDEN PATH NOTEBOOK ,1.65,15
20780,BLACK EAR MUFF HEADPHONES,5.737777777777778,36
20781,GOLD EAR MUFF HEADPHONES,5.136,29
20782,CAMOUFLAGE EAR MUFF HEADPHONES,5.593529411764706,39
20785,FUSCHIA RETRO BAR STOOL,39.15,14
20793,BLUE TILED TRAY,6.75,8
20794,BLUE  TILE HOOK,2.5218749999999996,85
20795,LARGE BLUE PROVENCAL CERAMIC BALL,2.1,44
20796,SMALL BLUE PROVENCAL CERAMIC BALL,1.65,61
20798,CLEAR MILKSHAKE GLASS,2.1,36
20801,LARGE PINK GLASS SUNDAE DISH,0.9405454545454546,848
20802,SMALL GLASS SUNDAE DISH CLEAR,1.4686363636363635,648
20803,SMALL PINK GLASS SUNDAE DISH,0.5196774193548387,911
20816,GOLD FLOWER CUSHION COVER ,1.95,8
20818,GOLD TEDDY BEAR,2.5,12
20819,SILVER TEDDY BEAR,3.981875,48
20820,SILVER LOOKING MIRROR,4.95,5
20821,GOLDIE LOOKING MIRROR,4.95,16
20823,GOLD WINE GOBLET,0.79,160
20826,SILVER APERITIF GLASS,0.8225,276
20827,GOLD APERITIF GLASS,0.39,88
20828,GLITTER BUTTERFLY CLIPS,2.5402173913043478,1010
20829,GLITTER HANGING BUTTERFLY STRING,2.153095238095238,1264
20830,SILVER PHOTO FRAME,2.1,75
20831,GOLD PHOTO FRAME,1.8645833333333333,169
20832,RED FLOCK LOVE HEART PHOTO FRAME,0.5778571428571428,1010
20835,FRENCH LATTICE CUSHION COVER ,0.83,66
20836,FRENCH PAISLEY CUSHION COVER,0.83,170
20837,FRENCH FLORAL CUSHION COVER ,0.9713333333333334,141
20838,FRENCH LATTICE CUSHION COVER ,0.9239393939393938,330
20839,FRENCH PAISLEY CUSHION COVER ,0.9855102040816326,452
20840,FRENCH FLORAL CUSHION COVER ,0.9609090909090909,464
20845,ZINC HEART LATTICE 2 WALL PLANTER,6.35,19
20846,ZINC HEART LATTICE T-LIGHT HOLDER,1.2601587301587303,646
20847,ZINC HEART LATTICE CHARGER LARGE,3.75,46
20848,ZINC HEART LATTICE CHARGER SMALL,2.95,21
20851,ZINC HEART LATTICE TRAY OVAL ,5.95,9
20854,BLUE PATCH PURSE PINK HEART,1.638235294117647,164
20856,DENIM PATCH PURSE PINK BUTTERFLY,1.65,140
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,1.65,32
20861,GOLD COSMETIC BAG PINK STAR,2.1,2
20866,BLUE ROSE FABRIC MIRROR,1.305135135135135,408
20867,PINK ROSE FABRIC MIRROR,1.2424,187
20868,SILVER FABRIC MIRROR,0.567741935483871,381
20869,GOLD FABRIC MIRROR,0.39,139
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1.25,24
20886,BOX OF 9 PEBBLE CANDLES,1.946153846153846,452
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,12.75,1
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2.478947368421052,258
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,2.95,25
20897,VINTAGE NOTEBOOK PARIS DAYS,2.9000000000000004,85
20898,VINTAGE NOTEBOOK TRAVELOGUE,2.95,25
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,6.35,3
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,6.216666666666666,33
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,6.35,20
20906,VINTAGE NOTEBOOK BEAUTY GIRL,2.95,3
20910,VINTAGE PHOTO ALBUM PARIS DAYS,6.349999999999999,8
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2.9525322997416024,6159
20931,BLUE POT PLANT CANDLE ,3.114864864864865,263
20932,PINK POT PLANT CANDLE,3.0090909090909093,189
20933,YELLOW POT PLANT CANDLE,3.127777777777778,23
20934,SET/3 POT PLANT CANDLES,5.45,54
20935,ROUND CACTUS CANDLE,2.95,6
20936,FORKED CACTUS CANDLE,3.0876923076923077,92
20941,FROG CANDLE,1.25,61
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1.2903333333333333,728
20961,STRAWBERRY BATH SPONGE ,1.316171875,1026
20963,APPLE BATH SPONGE,1.32744,1100
20964,POLYESTER FILLER PAD 60x40cm,2.55,2
20966,SANDWICH BATH SPONGE,1.2453658536585366,589
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,3.75,256
20969,RED FLORAL FELTCRAFT SHOULDER BAG,3.8198054474708174,1874
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,3.781038961038961,1080
20971,PINK BLUE FELT CRAFT TRINKET BOX,1.2698047722342733,10217
20972,PINK CREAM FELT CRAFT TRINKET BOX ,1.2748613678373384,7106
20973,12 PENCIL SMALL TUBE WOODLAND,0.6657342657342658,3998
20974,12 PENCILS SMALL TUBE SKULL,0.6483277591973244,6727
20975,12 PENCILS SMALL TUBE RED RETROSPOT,0.6490353697749196,6393
20977,36 PENCILS TUBE WOODLAND,1.2486713286713287,1595
20978,36 PENCILS TUBE SKULLS,1.2489560439560439,1627
20979,36 PENCILS TUBE RED RETROSPOT,1.244217391304348,3518
20980,36 PENCILS TUBE POSY,1.25,27
20981,12 PENCILS TALL TUBE WOODLAND,0.85,1849
20982,12 PENCILS TALL TUBE SKULLS,0.8494036697247705,2014
20983,12 PENCILS TALL TUBE RED RETROSPOT,0.8494650205761316,2643
20984,12 PENCILS TALL TUBE POSY,0.3644508670520231,3782
20985,HEART CALCULATOR,1.2791304347826087,1013
20986,BLUE CALCULATOR RULER,1.3231147540983605,459
20992,JAZZ HEARTS PURSE NOTEBOOK,0.45910852713178296,4339
20996,JAZZ HEARTS ADDRESS BOOK,0.2532972972972973,3054
20997,ROSE DU SUD CUSHION COVER ,4.95,15
20998,ROSE DU SUD OVEN GLOVE,2.935714285714286,119
21000,ROSE DU SUD COSMETICS BAG,4.25,45
21001,ROSE DU SUD WASHBAG ,5.95,24
21002,ROSE DU SUD DRAWSTRING BAG,4.25,13
21003,ROSE DU SUD CUSHION COVER,6.349999999999999,13
21011,GLITTER SNOW PEAR TREE DECORATION,1.45,18
21012,ANTIQUE ALL GLASS CANDLESTICK,2.085,565
21014,SWISS CHALET TREE DECORATION ,0.41,1233
21015,DARK BIRD HOUSE TREE DECORATION,0.3234328358208955,1249
21018,BIRD BOX CHRISTMAS TREE DECORATION,0.85,22
21025,SPACE FROG,1.465,100
21026,SPACE OWL,1.3513636363636363,140
21027,NINJA RABBIT PINK,1.2394444444444443,99
21028,NINJA RABBIT BLACK,1.52,116
21030,SPACE CADET RED,1.305,111
21031,SPACE CADET BLACK,1.371,39
21032,SPACE CADET WHITE,1.492,64
21033,JUMBO BAG CHARLIE AND LOLA TOYS,2.3205555555555555,921
21034,REX CASH+CARRY JUMBO SHOPPER,0.95,1832
21035,SET/2 RED RETROSPOT TEA TOWELS ,3.2909049773755656,2315
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,1.1656521739130437,77
21039,RED RETROSPOT SHOPPING BAG,2.7124675324675325,510
21040,MODERN VINTAGE COTTON SHOPPING BAG,1.67,22
21041,RED RETROSPOT OVEN GLOVE DOUBLE,2.95,569
21042,RED RETROSPOT APRON ,5.95,302
21043,APRON MODERN VINTAGE COTTON,2.300877192982456,441
21051,RIBBONS PURSE ,2.1845833333333333,108
21054,NURSE'S BAG SOFT TOY,8.95,68
21055,TOOL BOX SOFT TOY ,9.511951219512193,144
21056,DOCTOR'S BAG SOFT TOY,9.749393939393938,174
21058,PARTY INVITES WOODLAND,0.8646067415730337,1046
21059,PARTY INVITES DINOSAURS,0.8500000000000001,573
21060,PARTY INVITES BALLOON GIRL,0.85,356
21061,PARTY INVITES FOOTBALL,0.8499999999999999,412
21062,PARTY INVITES SPACEMAN,0.85,500
21063,PARTY INVITES JAZZ HEARTS,0.8692592592592592,483
21064,BOOM BOX SPEAKER BOYS,5.026785714285714,171
21065,BOOM BOX SPEAKER GIRLS,4.271428571428571,485
21066,VINTAGE RED MUG,1.234390243902439,687
21067,VINTAGE RED TEATIME MUG,1.2454761904761906,201
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1.2177777777777778,1535
21069,VINTAGE BILLBOARD TEA MUG,1.2350980392156863,1867
21070,VINTAGE BILLBOARD MUG ,1.3275641025641025,1032
21071,VINTAGE BILLBOARD DRINK ME MUG,1.2314678899082567,845
21078,SET/20 STRAWBERRY PAPER NAPKINS ,0.8504950495049504,2483
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,0.8390080428954423,12305
21084,SET/6 COLLAGE PAPER CUPS,0.25754716981132075,2199
21086,SET/6 RED SPOTTY PAPER CUPS,0.6589041095890411,6573
21087,SET/6 POSIES PAPER CUPS,0.466,126
21088,SET/6 FRUIT SALAD PAPER CUPS,0.257027027027027,1576
21089,SET/6 GREEN SPRING PAPER CUPS,0.22833333333333336,231
21090,SET/6 COLLAGE PAPER PLATES,0.4594017094017094,1664
21094,SET/6 RED SPOTTY PAPER PLATES,0.8289634146341462,7351
21095,SET/6 POSIES PAPER PLATES,0.85,95
21096,SET/6 FRUIT SALAD  PAPER PLATES,0.4482857142857143,1143
21098,CHRISTMAS TOILET ROLL,1.3046285714285715,3164
21100,CHARLIE AND LOLA CHARLOTTE BAG,1.65,43
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,2.9042857142857144,193
21107,CREAM SLICE FLANNEL PINK SPOT ,2.8674603174603175,837
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,1.3961139896373056,10070
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",4.172222222222222,836
21110,LARGE CAKE TOWEL PINK SPOTS,5.461392405063291,774
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",2.1598039215686278,788
21112,"SWISS ROLL TOWEL, PINK  SPOTS",2.5917391304347825,1245
21114,LAVENDER SCENTED FABRIC HEART,1.3224806201550388,1327
21115,ROSE CARAVAN DOORSTOP,5.874307692307692,519
21116,OWL DOORSTOP,4.948644067796611,489
21117,BLOND DOLL DOORSTOP,1.6428571428571428,109
21121,SET/10 RED POLKADOT PARTY CANDLES,1.2466470588235294,6498
21122,SET/10 PINK POLKADOT PARTY CANDLES,1.2514516129032258,5251
21123,SET/10 IVORY POLKADOT PARTY CANDLES,1.2374,973
21124,SET/10 BLUE POLKADOT PARTY CANDLES,1.2475,3966
21125,SET 6 FOOTBALL CELEBRATION CANDLES,1.25,595
21126,SET OF 6 GIRLS CELEBRATION CANDLES,1.2472058823529413,487
21128,GOLD FISHING GNOME,6.9193750000000005,47
21129,SILVER FISHING GNOME ,8.2775,45
21131,GOLD STANDING GNOME,3.8676470588235294,93
21132,SILVER STANDING GNOME   ,3.875,35
21135,VICTORIAN  METAL POSTCARD SPRING,1.6656287425149698,2707
21136,PAINTED METAL PEARS ASSORTED,1.6926536312849163,4454
21137,BLACK RECORD COVER FRAME,3.659681528662421,11401
21143,ANTIQUE GLASS HEART DECORATION ,1.95,295
21145,ANTIQUE GLASS PLACE SETTING,1.25,122
21147,JINGLE BELLS TREE DECORATION,2.2800000000000002,89
21154,RED RETROSPOT OVEN GLOVE ,1.2948689138576779,3186
21155,RED RETROSPOT PEG BAG,2.520891364902507,2458
21156,RETROSPOT CHILDRENS APRON,2.000853242320819,3038
21157,RED RETROSPOT WASHBAG,2.1,48
21158,MOODY GIRL DOOR HANGER ,0.6216556291390729,1422
21159,MOODY BOY  DOOR HANGER ,0.6942592592592592,1108
21161,KEEP OUT BOYS DOOR HANGER ,1.45,130
21162,TOXIC AREA  DOOR HANGER ,0.6111510791366906,1413
21163,DO NOT TOUCH MY STUFF DOOR HANGER ,0.6968421052631579,1171
21164,HOME SWEET HOME METAL SIGN ,2.938145161290323,1712
21165,BEWARE OF THE CAT METAL SIGN ,1.6722465753424658,4025
21166,COOK WITH WINE METAL SIGN ,2.0385831960461287,10169
21167,WHITE SAGE INCENSE,0.21,1260
21169,YOU'RE CONFUSING ME METAL SIGN ,1.6720689655172414,4270
21171,BATHROOM METAL SIGN ,1.4333333333333333,424
21172,PARTY METAL SIGN ,1.487248677248677,3330
21174,POTTERING IN THE SHED METAL SIGN,2.07,3922
21175,GIN + TONIC DIET METAL SIGN,2.466460431654676,11975
21179,NO JUNK MAIL METAL SIGN,0.7450000000000001,1783
21181,PLEASE ONE PERSON METAL SIGN,2.072354609929078,11932
21187,WHITE BELL HONEYCOMB PAPER GARLAND ,1.638235294117647,328
21188,3D HEARTS  HONEYCOMB PAPER GARLAND,2.926470588235294,294
21189,WHITE HONEYCOMB PAPER GARLAND ,1.65,165
21190,PINK HEARTS PAPER GARLAND,1.5928571428571427,168
21191,LARGE WHITE HONEYCOMB PAPER BELL  ,2.0813636363636365,394
21192,WHITE BELL HONEYCOMB PAPER ,1.6214285714285712,924
21194,PINK  HONEYCOMB PAPER FAN,0.9261904761904761,436
21195,PINK  HONEYCOMB PAPER BALL ,1.8675,417
21196,ROUND WHITE CONFETTI IN TUBE,1.65,89
21197,MULTICOLOUR  CONFETTI IN TUBE,1.5246153846153847,243
21198,WHITE HEART CONFETTI IN TUBE,1.3754,963
21199,PINK  HEART CONFETTI IN TUBE,1.3948979591836734,864
21200,MULTICOLOUR HONEYCOMB PAPER GARLAND,1.5012820512820513,1010
21201,TROPICAL  HONEYCOMB PAPER GARLAND ,2.502,1175
21202,DOLLY HONEYCOMB GARLAND,1.45,448
21204,DAISIES  HONEYCOMB GARLAND ,1.65,419
21205,MULTICOLOUR 3D BALLS GARLAND,2.55,209
21206,STRAWBERRY HONEYCOMB  GARLAND ,1.5487012987012987,1220
21207,SKULL AND CROSSBONES  GARLAND ,1.6288235294117646,981
21208,PASTEL COLOUR HONEYCOMB FAN,0.626140350877193,873
21209,MULTICOLOUR HONEYCOMB FAN,0.6794736842105262,1142
21210,SET OF 72 RETROSPOT PAPER  DOILIES,1.463013698630137,5677
21211,SET OF 72 SKULL PAPER  DOILIES,1.4440298507462686,815
21212,PACK OF 72 RETROSPOT CAKE CASES,0.5481809523809524,33670
21213,PACK OF 72 SKULL CAKE CASES,0.5405742574257426,14302
21215,IVORY PAPER CUP CAKE CASES ,0.54796875,866
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4.8976734693877555,1836
21217,RED RETROSPOT ROUND CAKE TINS,9.860505836575873,974
21218,RED SPOTTY BISCUIT TIN,3.755631067961165,2058
21219,SET/4 BADGES BALLOON GIRL,1.3625581395348838,323
21220,SET/4 BADGES DOGS,1.397560975609756,229
21221,SET/4 BADGES CUTE CREATURES,1.3004166666666668,201
21222,SET/4 BADGES BEETLES,1.4852777777777777,194
21224,SET/4 SKULL BADGES,1.247710843373494,734
21226,POCKET MIRROR WOODLAND,1.25,8
21228,"POCKET MIRROR ""GLAMOROUS""",1.25,5
